showname,day,time
Babylon,Monday,06:00
Phantasy Star Online 2 – Episode Oracle,Monday,07:30
Stand My Heroes – Piece of Truth,Monday,08:00
"Watashi, Nouryoku wa Heikinchi de tte Itta yo ne!",Monday,08:30
Bananya S2,Monday,16:30
Ace of Diamond Act II,Tuesday,02:55
Black Clover,Tuesday,03:25
Shounen Ashibe Go! Go! Goma-chan,Tuesday,04:00
ZX – Code Reunion,Tuesday,07:00
Kandagawa Jet Girls,Tuesday,08:30
Try Knights,Tuesday,10:30
Chihayafuru S3,Tuesday,12:30
Ahiru no Sora,Wednesday,03:25
Radiant S2,Wednesday,06:00
Hataage! Kemono Michi,Wednesday,07:00
Urashimasakatasen no Nichijou,Wednesday,07:00
Shinchou Yuusha,Wednesday,07:30
Mugen no Juunin – Immortal,Wednesday,09:00
Honzuki no Gekokujou,Wednesday,09:30
Ore wo Suki nano wa Omae dake ka yo,Wednesday,10:00
PSYCHO-PASS 3,Wednesday,10:00
Houkago Saikoro Club,Wednesday,11:11
Gundam Build Divers Re-RISE,Thursday,04:30
Choyoyu,Thursday,07:00
Assassins Pride,Thursday,08:00
Azur Lane,Thursday,08:30
No Guns Life,Thursday,10:30
Hoshiai no Sora,Thursday,11:00
Legend of the Galactic Heroes – Die Neue These,Thursday,16:30
Chuubyou Gekihatsu Boy,Friday,07:30
Dr. Stone,Friday,07:30
Null Peta,Friday,07:45
Granblue Fantasy The Animation S2,Friday,09:30
Shokugeki no Soma S4,Friday,09:30
Enen no Shouboutai,Friday,10:25
Kabukicho Sherlock,Friday,11:10
Shin Chuuka Ichiban!,Friday,11:45
Bonobono,Friday,17:30
Boku no Hero Academia,Saturday,02:30
Mairimashita! Iruma-kun,Saturday,04:15
Detective Conan,Saturday,04:30
Cardfight!! Vanguard – Zoku Koukousei-hen,Saturday,05:40
Val x Love,Saturday,07:30
Fate Grand Order – Absolute Demonic Front Babylonia,Saturday,09:00
Sword Art Online – Alicization – War of Underworld,Saturday,09:30
Bokutachi wa Benkyou ga Dekinai S2,Saturday,10:00
Kono Oto Tomare!,Saturday,10:30
One Piece,Saturday,19:00
Gegege no Kitarou (2018),Saturday,19:30
Boruto – Naruto Next Generations,Sunday,02:00
Special 7 – Special Crime Investigation Unit,Sunday,06:00
Ensemble Stars!,Sunday,07:00
Rifle is Beautiful,Sunday,08:00
Fairy Gone,Sunday,09:00
Vinland Saga,Sunday,09:00
Africa no Salaryman,Sunday,09:30
Actors – Songs Connection,Sunday,10:30
